lat,lon,sport,count
39.0105267,-84.5664884,baseball,1
39.021597,-84.5715497,american_football,1
39.018483,-84.5630672,softball,1
39.0223495,-84.5658424,tennis,1
39.0121023,-84.5686717,baseball,1
39.0115729,-84.5685108,baseball,1
39.0060431,-84.6062006,baseball,1
39.006289,-84.6068375,baseball,1
39.0966647,-84.4821247,baseball,1
39.0967921,-84.4820499,american_football,1
39.0796244,-84.5141694,baseball,1
39.0584362,-84.4992258,tennis,1
39.0633177,-84.5000187,american_football,1
39.0338176,-84.5724805,tennis,1
39.0284398,-84.4647306,baseball,1
39.0287481,-84.4681666,softball,1
39.0294432,-84.4676372,tennis,1
39.0205972,-84.4338355,baseball,1
39.0204492,-84.4326956,baseball,1
39.021389,-84.4331489,soccer,1
39.0178694,-84.4328512,baseball,1
39.0526686,-84.6317088,tennis,1
39.0503916,-84.5552791,baseball,1
39.0639812,-84.5168465,baseball,1
39.0643893,-84.5118572,baseball,1
38.9826403,-84.6384881,baseball,1
38.9994235,-84.6304533,baseball,1
39.0932241,-84.5538389,,1
39.0940708,-84.5391511,baseball,1
39.0827769,-84.5616041,baseball,1
39.1161727,-84.4719115,basketball,1
39.115769,-84.4718654,baseball,1
39.1160261,-84.4721233,basketball,1
39.1163293,-84.4718864,basketball,1
39.1159771,-84.4729046,baseball,1
39.0798829,-84.521125,basketball,1
39.0824183,-84.4650496,basketball,1
39.0842977,-84.4652201,tennis,1
39.0823754,-84.4648347,tennis,1
39.0868539,-84.4934375,basketball,1
39.0870694,-84.493629,basketball,1
39.1092383,-84.4840479,basketball,1
39.109375,-84.483861,basketball,1
39.0895648,-84.5564734,tennis,1
39.0315169,-84.6049808,tennis,1
39.062681,-84.5308841,soccer,1
39.0621857,-84.534052,tennis,1
39.0246861,-84.5883072,tennis,1
39.0251973,-84.5879667,tennis,1
39.0229371,-84.597183,basketball,1
39.0228518,-84.5973148,basketball,1
39.0249129,-84.5873447,baseball,1
39.022768,-84.5890931,baseball,1
39.0249551,-84.5880652,tennis,1
39.0239701,-84.587502,american_football,1
39.0230318,-84.5970458,basketball,1
39.0238297,-84.5959981,tennis,1
39.02306,-84.5881007,american_football,1
39.0132799,-84.6114831,baseball,1
39.0821957,-84.5622261,basketball,1
39.0984125,-84.4534933,baseball,1
39.0985733,-84.4543932,baseball,1
39.1077047,-84.4734002,american_football,1
39.1061947,-84.4773064,basketball,1
39.1156446,-84.4725663,,1
39.0045452,-84.6472037,miniature_golf,1
38.9847693,-84.50698,tennis,1
38.9850564,-84.507222,tennis,1
38.9748613,-84.5038865,soccer,1
39.0735629,-84.4746212,tennis,1
39.0729656,-84.4745756,basketball,1
39.078346,-84.4725012,baseball,1
39.0648157,-84.4579341,basketball,1
39.0784129,-84.4417345,tennis,1
39.0614972,-84.4462877,baseball,1
39.0804706,-84.4560482,baseball,1
39.0226907,-84.5669562,tennis,1
39.0755311,-84.4988816,basketball,1
39.0367778,-84.5035474,baseball,1
39.0386103,-84.5012528,soccer,1
39.0376799,-84.5018737,baseball,1
39.0521874,-84.5294416,tennis,1
39.055703,-84.5300189,basketball,1
39.0534368,-84.5648883,soccer,1
39.054241,-84.5641934,beachvolleyball,1
39.0544939,-84.5642629,basketball,1
39.0952499,-84.5202351,american_football,1
39.0953593,-84.5194657,american_football,1
39.095375,-84.5187853,american_football,1
39.1032609,-84.5236088,basketball,1
39.0280648,-84.5090302,baseball,1
39.0294073,-84.5084777,baseball,1
39.0290531,-84.5092485,baseball,1
39.0526364,-84.5130051,,1
39.052853,-84.5130827,basketball,1
39.0646433,-84.512316,basketball,1
39.0942563,-84.4821237,basketball,1
39.0322468,-84.4569829,soccer,1
39.0186517,-84.4331302,baseball,1
39.0843222,-84.44965,american_football,1
38.9811159,-84.6550934,baseball,1
39.0270431,-84.455212,baseball,1
39.0270964,-84.4573628,volleyball,1
39.0282076,-84.4456235,baseball,1
39.0250256,-84.4391705,baseball,1
39.0323804,-84.5749569,tennis,1
39.0082349,-84.6454851,golf,1
39.0093989,-84.6459585,golf,1
39.0105733,-84.6456608,golf,1
39.009501,-84.6467083,golf,1
39.0102659,-84.6445839,golf,1
38.9988225,-84.630092,baseball,1
39.0080387,-84.6472951,golf,1
39.006881,-84.6489272,golf,1
